item,value,unit,fiscal_year,source_file,page_or_sheet,quote,status,note
GF total transfers out (net),69904926,USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p139,"TOTAL TRANSFERS $ 52,592,410 $ 6 6,237,047 $ 6 5,068,514 $ 7 6,841,235 $ 6 9,904,926",found,
GF appropriation (adopted resolution),506613945,USD,2026-27,data/raw/bvsd/boarddocs/budget_fy2027_resolution_26_25_budget_resolution_2026-06-09.txt,p1,"General Operating Fund $ 506,613,945",found,"appropriation includes expenditures, transfers out, reserves and ending balance"
All-funds appropriation (adopted resolution),1126928196,USD,2026-27,data/raw/bvsd/boarddocs/budget_fy2027_resolution_26_25_budget_resolution_2026-06-09.txt,p1,"$ 1,126,928,196",found,
GF total expenditures per CDE Uniform Budget Summary (Fund 10 as consolidated by CDE),410202100,USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_uniform_budget_summary.txt,p2,"Total Expenditures 4 10,202,100 ...",found,"CDE 'General Fund' column folds sub-funds (12, 13, 16 etc.) into Fund 10, so it exceeds the budget book's $386.2M; adopted June 09, 2026"
GF salaries+benefits subtotal (all job classes),374390263,USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p139,"Subtotal Salaries and Benefits $ 315,823,435 $ 336,680,670 $ 354,372,142 $ 364,468,687 $ 374,390,263",found,
GF 201-224 Teachers and Instructional Support (salaries+benefits),237063348,USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p139,"201-224 Teachers and Instructional Support 204,417,561 2 14,590,654 2 23,503,941 2 27,226,603 2 37,063,348",found,
"GF salaries (object 0100s), all locations",283915660,USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p171,"GRAND TOTAL 2,792.131 $ 2 83,915,660 $ 90,474,603 $ 8,477,826 ... $ 386,231,155",found,
"GF benefits (object 0200s), all locations",90474603,USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p171,"GRAND TOTAL 2,792.131 $ 2 83,915,660 $ 90,474,603 ...",found,
GF benefits / salaries ratio (computed),0.3187,ratio,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p171,"90,474,603 / 283,915,660",derived,budget book does not print a single benefits rate; this is object 0200s over object 0100s for the whole General Fund
"GF benefits / salaries ratio, elementary schools level total (computed)",0.338,ratio,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p167,"LEVEL TOTAL 866.784 77,109,137 26,065,551 ...",derived,
"GF benefits / salaries ratio, CDE Uniform Budget Summary Fund 10 (computed)",0.3135,ratio,2026-27,data/raw/bvsd/budget/bvsd_2026-27_uniform_budget_summary.txt,p1-p2,"sum of 'Salaries 0100' and 'Employee Benefits ... 0200' rows, General Fund column, all program groups",derived,"salaries 295,635,223; benefits 92,692,659"
"GF authorized FTE, proposed budget",2792.131,FTE,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p171 (also p120),"GRAND TOTAL 2,792.131",found,"p58 'Summary of Changes in FTE' prints 2,792.877; the two tables differ by 0.746 FTE"
GF FTE change from staffing formula - elementary teachers,-6.265,FTE,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p58,Staffing Formula - Elementary Teachers (6.265),found,
GF FTE change from staffing formula - elementary paras,-0.706,FTE,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p58,Staffing Formula - Elementary Paras (0.706),found,
GF FTE change from staffing formula - elementary specials,-1.106,FTE,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p58,Staffing Formula - Elementary Specials (1.106),found,
Staffing-formula savings from enrollment decline (teachers and paras),2200000,USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p143,The staffing formula for classroom teachers and paras has been adjusted to account for any change in student enrollment ($2.2M) which for the 2026-27 has declined.,found,
"Per pupil revenue (PPR), state School Finance Act",11890,USD per funded pupil,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p31,"Per Pupil Revenue: (PPR) $11,890",found,'slightly rounded'; 2.9% above 2025-26 Revised
"Per pupil revenue (PPR), revised budget",11554,USD per funded pupil,2025-26,data/raw/bvsd/budget/bvsd_2025-26_revised_budget_book.txt,p30,"The BVSD projected state per pupil revenue (PPR) for 2025-26 is $11,554 (slightly rounded).",found,
"Per pupil revenue (PPR), adopted budget",11576,USD per funded pupil,2025-26,data/raw/bvsd/budget/bvsd_2025-26_adopted_budget_june.txt,p31,"The BVSD projected state per pupil revenue (PPR) for 2025-26 is $11,576 (slightly rounded).",found,
"Budgeted funded pupil count (FPC, FTE incl. averaging)",26538.3,funded FTE,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,"p40 (also UBS p1 'Budgeted Pupil Count: 26,538.3'; p31 prints 26,538)","Total Funded Pupil Count 27,077.4 27,077.4 26,538.3 -539.1 / -1.99%",found,
K-12 funded student FTE before averaging,26110.5,FTE,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p40,"Total K-12 Funded Student Full Time Equivalent (FTE) 26,581.1 26,581.1 26,110.5 -470.6 / -1.77%",found,
Additional FTE due to averaging,427.8,FTE,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p40,Add'l FTE due to averaging 496.3 496.3 427.8,found,
"Budgeted total enrollment (heads, PK-12)",26973,students,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,"p40 (also p95, p118)","Total PK-12 Funded Enrollment (Heads)* 27,461.0 27,461.0 26,973.0 -488.0 / -1.78%",found,
"K-12 General (non-charter, non-online) student FTE",23523.5,FTE,2026-27,data/raw/bvsd/boarddocs/budget_fy2027_general_fund_and_db_2026-05-26.txt,printed p6 'Student FTE by Fund',"K-12 General FTE 24,001.1 24,001.1 23,523.5 -477.6 / -1.99%",found,
School Finance Act total program funding,315540387,USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p31 (also p237),"School Finance Act Funding: $315,540,387",found,
Opportunity cost of 100 fewer funded pupils,-1189000,USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p31,"Funded Pupil Count: x(FPC) (100) School Finance Act Funding: ($1,189,000)",found,
Budgeted operating-funds expenditure per student FTE,18162,USD per student FTE,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p118,"Operating Funds $ 476,373,531 $ 17,922 $ 474,215,539 $ 18,162",found,
Elementary classroom teacher staffing ratio,24.58,students per 1.0 teacher FTE,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p121,3. Classroom Teachers Staffing Formula/Ratio: All elementary schools are staffed using guideline ratio of 1:24.58 with adjustments made to accommodate individual grade levels. Guidelines for class size can be found in the BVEA negotiated agreement section C-6.,found,same 1:24.58 in 2025-26 adopted book p118 and 2025-26 revised book p185
Elementary specials (art/music/PE) allocation per section,0.0556,FTE per grade-level classroom section,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p121,The allocation of .0556 FTE per section provides equalized instruction of 50 minutes per grade level classroom on a rotating ABC schedule.,found,
Elementary teacher librarian allocation,1.0 FTE if >350 K-5 student FTE; 0.50 FTE if under 350,FTE,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p121,4. Teacher Librarians: 1.0 FTE teacher librarian may be assigned to schools with over 350 K-5 student FTE and .50 FTE may be assigned to schools with enrollments under 350 student FTE.,found,
Elementary school counselor allocation,1.0 FTE at 350+ K-5; 0.50 FTE at 200-350; 1.0 FTE for Title I or >=30% poverty schools,FTE,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p121,5. School Counselors: Each school with an enrollment of 350+ K-5 students will be allocated a 1.0 FTE School Counselor; those with enrollments of 200-350 K-5 students be allocated a 0.50 FTE School Counselor. All Title schools and schools with poverty at 30 percent or above have been allocated a 1.0 FTE School Counselor.,found,
Elementary principal allocation,1.0 FTE per school (small schools <350 may have multiple assignments and reduced FTE),FTE,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p121,1. Principals: 1.0 Full Time Equivalent (FTE)/school (Small schools below 350 students may have multiple assignments and reduced FTE.),found,
Elementary clerical allocation,1.125-2.000 FTE at 100-399 enrollment; 2.125-2.500 FTE at 400-600+,FTE,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p121,Enrollment FTE 100 - 399 1.125 - 2.000 400- 600+ 2.125 - 2.500,found,
Elementary regular paraprofessional allocation,0.0326 hours per student (FRL students weighted 1.5) plus 0.25 FTE per kindergarten section,hours per student,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p122,The standard ratio of .0326 hours is allocated per student. ... The FRL student count receives a weighted enrollment of one and a half ... Schools receive an allocation of .25 paraprofessional FTE per kindergarten section.,found,
Elementary health room paraprofessional allocation,0.500 FTE at enrollment 75-500; 0.600 FTE above 501,FTE,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p122,.500 FTE for enrollment of 75 - 500 .600 FTE for enrollment greater than 501,found,
Elementary library paraprofessional allocation,3.5 hours/day for schools with a 0.50 teacher librarian; none with a full-time librarian,hours per day,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p122,9. Library Paraprofessional: 3.5 hours per day for schools with a .50 teacher librarian ... Schools with a full-time teacher librarian do not receive library paraprofessional FTE.,found,
Custodial allocation,"ISSA level-3 cleaning, up to 33,000 sq ft per custodian, rounded to 0.25",sq ft per FTE,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p122,"Cleaning capacity up to 33,000 sq. ft. per custodian. Rounding occurs at .250, .50, .750, and 1.0.",found,
Elementary School Resource Allocation (SRA) base per pupil,65,USD per pupil (heads),2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p122,The school resource allocation (SRA) is allocated at $65 per pupil.,found,"middle $75 (p123), high $70 (p125)"
Elementary SRA supplements,FRL $125; ELL $25; Special Education $25; preschool $65 per pupil + $25 per preschool student,USD per pupil,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p122,"An allocation for Special Programs is given to Free and Reduced (FRL) of $125, English Language Learners of $25, and $25 for Special Education. Schools with preschool programs will receive a per pupil amount of $65 as well as $25 per preschool student.",found,
Elementary literacy teacher FTE (district-wide allocation),26.9,FTE,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p127,"26.90 Literacy Teacher FTE at the K-5 level: FTE is allocated based on size, demographics, and",found,
BVEA C-6 elementary class-size goals,K-1 max 26; grades 2-3 max 29; grades 4-5 max 31; combined grades: goal reduced by two using the lowest grade,pupils per class,2026-2029,data/raw/bvsd/policy/bvea_negotiated_agreement_2026-2029_edited_2026-07-01.txt,p19 (printed p12),"C-6 ELEMENTARY CLASS SIZE: K-5 Grade Class Size: It is the goal of the School District to limit the size of Grades kindergarten and first to a maximum of 26 pupils; Grades 2 and 3 to a maximum of 29 pupils; Grades 4 and 5 to a maximum of 31 pupils. When it is necessary to combine the aforementioned grades, the class size goal will be reduced by two with the lowest grade level used as the guideline.",found,
Number of elementary schools,29,schools,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p94,29 Elementary Schools ... 56 Total Schools,found,list on p94 (PK-5) includes BCSIS and Community Montessori; 23 elementary schools host preschool sessions (p47)
Elementary schools total authorized GF FTE,866.784,FTE,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p119 (also p167),1ELEMENTARY SCHOOLS TOTAL - 26.500 6.000 484.062 65.650 1 .100 - - 1 64.172 5 7.300 62.000 866.784,found,
Elementary schools teachers FTE (job 200-209),484.062,FTE,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p119,ELEMENTARY SCHOOLS TOTAL ... 484.062 (Teachers 200-209),found,
Elementary schools other teachers FTE (job 210-224),65.65,FTE,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p119,ELEMENTARY SCHOOLS TOTAL ... 65.650 (Other Teachers 210-224),found,
Elementary schools paraeducator/liaison/monitor FTE (job 400-499),164.172,FTE,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p119,ELEMENTARY SCHOOLS TOTAL ... 164.172 (400-499 Liaisons Monitors),found,
"Elementary schools GF budget, level total",107460375,USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p167,"LEVEL TOTAL 866.784 77,109,137 26,065,551 8,642 1,561,631 18,800 2,662,142 34,472 $ 107,460,375",found,
"Elementary schools GF salaries, level total",77109137,USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p167,"LEVEL TOTAL 866.784 77,109,137 ...",found,
"Elementary schools GF benefits, level total",26065551,USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p167,"LEVEL TOTAL ... 26,065,551 ...",found,
Elementary schools projected K-5 enrollment (sum of school list),8048,students,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p94,"Total 8,048",found,"the 29 school values on p94 sum to 8,048 (verified)"
"Elementary GF budget per projected pupil, level (computed)",13352,USD per student,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p167 / p94,"107,460,375 / 8,048",derived,
Average teacher salary,,USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,,,not_found,"no 'average teacher salary' printed in the FY27 proposed book, the Uniform Budget Summary, the May 26 / Dec 9 decks, or the BVEA agreement text; see derived per-FTE loaded costs below"
"GF loaded cost per FTE, 201-224 Teachers and Instructional Support (computed)",150033,USD per FTE (salary+benefits),2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p139 / p120,"237,063,348 / (1,395.834 + 184.240) GF Teachers + Other Teachers FTE",derived,"includes stipends, temporary and substitute pay booked to job classes 201-224; not a base-salary average"
"Regular Education loaded cost per FTE, Bear Creek (computed)",132283,"USD per FTE (salary+benefits, non-SRA)",2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p96,"Regular Education: 18.636 $ 2,465,233 $ 1 6,050",derived,
"Regular Education loaded cost per FTE, Mesa (computed)",131992,"USD per FTE (salary+benefits, non-SRA)",2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p99,"Regular Education: 12.162 $ 1,605,289 $ 1 4,988",derived,
Benefit rates applied to wages: PERA,0.214,share of salary,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p237,PERA 21.40% 21.40% 21.40% 21.40%,found,
Benefit rates applied to wages: Medicare,0.0145,share of salary,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p237,Medicare 1.45% 1.45% 1.45% 1.45%,found,
Benefit rates applied to wages: long-term disability,0.0016,share of salary,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p237,Long Term Disability 0.16% 0.16% 0.16% 0.16%,found,
Benefit rates applied to wages: subtotal,0.2301,share of salary,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p237,Subtotal % of Salary: 23.01% 23.01% 23.01% 23.01%,found,
Employer benefit contribution per eligible employee: health insurance,9552,USD per year,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p237,"Health Insurance $8,736 $9,271 $9,271 $9,552",found,
"Employer benefit contribution per eligible employee: total (health, dental, life, EAP, flex)",10300,USD per year,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p237,"Employer contribution $9,484 $10,019 $10,019 $10,300",found,eligibility: regular employees at 0.5 FTE / 20+ hours per week (p144)
Health insurance cost increase assumed,0.046,share,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p144,an increase of 4.6 percent in health insurance in 2026-27 $1.2M,found,
COLA assumed for all staff,0.01,share,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p143,"an estimation of 1.0 percent COLA for all staff ($2.7M), steps for non-BVEA staff ($1.5M), and $1.0M for variable benefits related to the step and COLA raises. BVEA will not receive a traditional step in the 2026-27 fiscal year",found,
BVEA revised 2026 salary schedule (table),,USD,2026-27,data/raw/bvsd/policy/bvea_negotiated_agreement_2026-2029_edited_2026-07-01.txt,"p112-113 (MOU 'Compensation: Revised Salary Schedule 2026', printed pp.106-107)",This Memorandum of Understanding (MOU) sets forth the terms ... to establish terms for compensation on the Revised Salary Schedule of 2026.,not_found,"the MOU describes placement rules (next-highest cell + 1% COLA, min $1,500 increase) but the revised schedule's dollar table is not in the agreement text export; only the grandfathered schedule PDF is on disk"
BVEA grandfathered ('yellow cell') 186-day schedule: BA lane lowest printed cell (Step F),62764,USD,2026-27,data/raw/bvsd/policy/bvea_salary_schedule_grandfathered_2026-2027.pdf,"p1 (186 Days), row F col BA (pdfplumber table)","F $62,764 ... (BA column)",found,"grandfathered schedule effective Aug 1 2026; BA lane runs steps F-O; lane alignment resolved with pdfplumber, the .txt export drops empty cells"
BVEA grandfathered 186-day schedule: BA lane highest cell (Step O),73368,USD,2026-27,data/raw/bvsd/policy/bvea_salary_schedule_grandfathered_2026-2027.pdf,"p1, row O col BA","O $73,368 ...",found,
BVEA grandfathered 186-day schedule: MA lane lowest printed cell (Step K),89531,USD,2026-27,data/raw/bvsd/policy/bvea_salary_schedule_grandfathered_2026-2027.pdf,"p1, row K col MA","K ... $89,531",found,
BVEA grandfathered 186-day schedule: MA lane highest cell (Step U),109139,USD,2026-27,data/raw/bvsd/policy/bvea_salary_schedule_grandfathered_2026-2027.pdf,"p1, row U col MA","U ... $109,139",found,
BVEA grandfathered 186-day schedule: BA+48 lane Step A (lowest cell in that lane),69952,USD,2026-27,data/raw/bvsd/policy/bvea_salary_schedule_grandfathered_2026-2027.pdf,"p1, row A col BA+48","A $69,952",found,"BA+48 is the only lane with steps A-Y (A $69,952 to Y $106,083); E-1.2 bars yellow-cell employees from moving into BA+48"
BVEA grandfathered 186-day schedule: top cell (MA+60 Step Q),127458,USD,2026-27,data/raw/bvsd/policy/bvea_salary_schedule_grandfathered_2026-2027.pdf,"p1, row Q col MA+60","Q ... $127,458",found,PhD column is empty on the sheet
BVEA revised schedule placement rule for new hires,Step A of the Salary Schedule (district may place up to the middle of the schedule),,2026-2029,data/raw/bvsd/policy/bvea_negotiated_agreement_2026-2029_edited_2026-07-01.txt,p50 (printed p43) E-1.3,It is the intent of the parties that to the degree possible new hires will be placed on Step A of the Salary Schedule.,found,
Bear Creek Elementary GF site budget total (loc 119),3688335,USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p96 (also p167),"119 BEAR CREEK ELEMENTARY Total Budget $3,688,335",found,
Bear Creek Elementary authorized FTE (loc 119),30.511,FTE,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,"p119 (also p96, p167)",119 BEAR CREEK ELEMENTARY ... 30.511,found,
Bear Creek Elementary Regular Education FTE,18.636,FTE,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p96,"Regular Education: 18.636 $ 2,465,233",found,
Bear Creek Elementary Regular Education budget (non-SRA),2465233,USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p96,"Regular Education: 18.636 $ 2,465,233",found,
Bear Creek Elementary SRA (school discretionary) total,25170,USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p96,"TOTALS: ... $ 25,170 (SRA column)",found,
Bear Creek Elementary projected enrollment,299,students,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p94,"# of Students Enrolled column; 29 values sum to printed total 8,048",found,column order matches the alphabetical school list on p94
Bear Creek Elementary GF site budget per projected pupil (computed),12336,USD per student,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p96 / p94,"3,688,335 / 299",derived,
"Bear Creek Elementary GF site budget total, 2025-26 adopted",3471445,USD,2025-26,data/raw/bvsd/budget/bvsd_2025-26_adopted_budget_june.txt,p92,"Total Budget $3,471,445",found,
Mesa Elementary GF site budget total (loc 166),3024735,USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p99 (also p167),"166 MESA ELEMENTARY Total Budget $3,024,735",found,
Mesa Elementary authorized FTE (loc 166),25.343,FTE,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,"p119 (also p99, p167)",166 MESA ELEMENTARY ... 25.343,found,
Mesa Elementary Regular Education FTE,12.162,FTE,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p99,"Regular Education: 12.162 $ 1,605,289",found,
Mesa Elementary Regular Education budget (non-SRA),1605289,USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p99,"Regular Education: 12.162 $ 1,605,289",found,
Mesa Elementary SRA (school discretionary) total,20420,USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p99,"TOTALS: ... $ 20,420 (SRA column)",found,
Mesa Elementary projected enrollment,217,students,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p94,"# of Students Enrolled column; 29 values sum to printed total 8,048",found,column order matches the alphabetical school list on p94
Mesa Elementary GF site budget per projected pupil (computed),13939,USD per student,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p99 / p94,"3,024,735 / 217",derived,
"Mesa Elementary GF site budget total, 2025-26 adopted",3221520,USD,2025-26,data/raw/bvsd/budget/bvsd_2025-26_adopted_budget_june.txt,p95,"Total Budget $3,221,520",found,
Bear Creek Elementary GF salaries / benefits (loc 119),"2,642,669 / 903,148",USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p167,"119 BEAR CREEK ELEMENTARY 30.511 2,642,669 9 03,148 700 52,207 500 86,261 2,850 $ 3,688,335",found,
Mesa Elementary GF salaries / benefits (loc 166),"2,143,088 / 740,864",USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p167,"166 MESA ELEMENTARY 25.343 2,143,088 7 40,864 200 52,490 250 86,943 900 3 ,024,735",found,
Flatirons Elementary GF site budget total (loc 136),2330098,USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p167 (also p97),"136 FLATIRONS ELEMENTARY 20.875 1,649,076 5 84,051 - 36,094 - 60,811 6 6 2 ,330,098",found,"p94 projected enrollment 147; 2025-26 adopted total $2,471,658 (FY26 book p93)"
Heatherwood Elementary GF site budget total (loc 144),3151609,USD,2026-27,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p167 (also p97),"144 HEATHERWOOD ELEMENTARY 25.918 2,247,134 7 68,817 - 54,418 150 80,762 328 3 ,151,609",found,p94 projected enrollment 216
Bear Creek Elementary Building Fund (bond) adjusted project budget,2787641,USD,2022-2028,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p209,"Bear Creek Elementary 2 ,787,641 11,307 55,000 2028",found,Adjusted Building Fund Project Budget / spent 2022-2025 / proposed 2026-27 / anticipated completion
Mesa Elementary Building Fund (bond) adjusted project budget,1384757,USD,2022-2028,data/raw/bvsd/budget/bvsd_2026-27_proposed_budget.txt,p209,"Mesa Elementary 1 ,384,757 42,034 24,000 2028",found,
