school,level,october_year,school_year,measure,value,data_type,_source,_source_row
BEAR CREEK,Elementary,2024,2024-25,4TH,57.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2024,2024-25,5TH,63.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2024,2024-25,KDG,51.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2024,2024-25,enrollment,318.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2024,2024-25,max_enrollment,448.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2024,2024-25,pct_of_max,0.7098214285714286,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2025,2025-26,1ST,46.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2025,2025-26,2ND,42.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2025,2025-26,3RD,56.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2025,2025-26,4TH,58.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2025,2025-26,5TH,62.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2025,2025-26,KDG,48.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2025,2025-26,enrollment,312.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2025,2025-26,max_enrollment,448.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
BEAR CREEK,Elementary,2025,2025-26,pct_of_max,0.6964285714285714,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
MESA,Elementary,2014,2014-15,enrollment,330.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
MESA,Elementary,2014,2014-15,max_enrollment,330.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
MESA,Elementary,2014,2014-15,pct_of_max,1.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
MESA,Elementary,2015,2015-16,enrollment,320.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
MESA,Elementary,2015,2015-16,max_enrollment,330.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
MESA,Elementary,2015,2015-16,pct_of_max,0.9696969696969696,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
MESA,Elementary,2016,2016-17,1ST,49.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
MESA,Elementary,2016,2016-17,2ND,58.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
MESA,Elementary,2016,2016-17,3RD,56.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
MESA,Elementary,2016,2016-17,KDG,48.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
MESA,Elementary,2016,2016-17,enrollment,288.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
MESA,Elementary,2016,2016-17,max_enrollment,330.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
MESA,Elementary,2016,2016-17,pct_of_max,0.8727272727272727,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
MESA,Elementary,2017,2017-18,1ST,49.0,actual,"enrollmentdata.org transcription of BVSD October pupil count (github.com/yoavlurie/bvsd-enrollment, commit 37a9bf9, CC0)","data/raw/enrollmentdata/BVSD_October_Headcount_2014-2025.csv, rows where school in {MESA, BEAR CREEK}"
