file,url,publisher,series,geography,years,retrieved_utc,md5,notes,bytes
cdphe_vital_statistics_boulder_county_summary_report_2025.xlsx,https://drive.google.com/uc?export=download&id=1OAjLHkdkUFHXkBFooNGPD3ELT2QFUrUv,"Colorado Dept. of Public Health & Environment, Vital Statistics Program","'Boulder County Summary Report, 2025': T1-T5 birth characteristics / maternal age / race / poverty / fertility rates for 2025; T6 vital statistics summary with Total Births for 2015, 2021, 2022, 2023, 2024, 2025 (calendar-year, county residents); T7-T11 deaths",Boulder County residents,"2015, 2021-2025",2026-09-04T02:29:12Z,e5c626a6b3f9f939257e4e30ad1d3650,"From the CDPHE 'State and county birth and death summary tables' Google Drive folder (id 1dpS9IQJVXvW1bDnOvpDPlQ__fIewhg-X) linked from the Vital Statistics Program page. Only the 2025 edition is in the folder; older annual county PDFs live on cohealthdata.dphe.state.co.us, which did not resolve from this network",40776
cdphe_vital_statistics_colorado_summary_report_2025.xlsx,https://drive.google.com/uc?export=download&id=1bFxWluLomzIlhsa8bhwzmuB6J-PjvwnQ,"Colorado Dept. of Public Health & Environment, Vital Statistics Program","'Colorado Summary Report, 2025': statewide version of the county summary tables",Colorado residents,"2015, 2021-2025",2026-09-04T02:29:14Z,644fadef42e664d948ad634e8d8a8f80,Same Drive folder as the Boulder file,42491
census_acs5_2020_2024_blockgroup_boulder_county_B01001_sex_by_age.csv,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B01001&g=050XX00US08013$1500000,"U.S. Census Bureau (data.census.gov table API, no key required)",ACSDT5Y2024.B01001: ACS 5-year table B01001; same response as CSV (rows verbatim),"All 228 block groups in Boulder County, CO",ACS 2020-2024,2026-09-04T02:29:46Z,9c01168c3de1c3cde4d5f8823622ec4c,Retrieved 2026-09-04T02:29:46Z; 228 rows x 198 cols. Sub-county age structure for the attendance-area overlay (2010 tract rows use 2010 tract geography),109446
census_acs5_2020_2024_blockgroup_boulder_county_B01001_sex_by_age.json,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B01001&g=050XX00US08013$1500000,"U.S. Census Bureau (data.census.gov table API, no key required)",ACSDT5Y2024.B01001: ACS 5-year table B01001; raw JSON response,"All 228 block groups in Boulder County, CO",ACS 2020-2024,2026-09-04T02:29:46Z,70628758404752dfcaa0d3a01c257884,Retrieved 2026-09-04T02:29:46Z; 228 rows x 198 cols. Sub-county age structure for the attendance-area overlay (2010 tract rows use 2010 tract geography),290647
census_acs5_2020_2024_place_boulder_city_B01001_sex_by_age.csv,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B01001&g=160XX00US0807850,"U.S. Census Bureau (data.census.gov table API, no key required)",ACSDT5Y2024.B01001: ACS 5-year table B01001; same response as CSV (rows verbatim),"Boulder city, CO (place 0807850)",ACS 2020-2024,2026-09-04T02:29:48Z,fc588ae3414506214cdc75db40bc3f49,Retrieved 2026-09-04T02:29:48Z; 1 rows x 198 cols. Sub-county age structure for the attendance-area overlay (2010 tract rows use 2010 tract geography),3041
census_acs5_2020_2024_place_boulder_city_B01001_sex_by_age.json,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B01001&g=160XX00US0807850,"U.S. Census Bureau (data.census.gov table API, no key required)",ACSDT5Y2024.B01001: ACS 5-year table B01001; raw JSON response,"Boulder city, CO (place 0807850)",ACS 2020-2024,2026-09-04T02:29:48Z,5376cc25db84c7beed2d5a03e23b3fe9,Retrieved 2026-09-04T02:29:48Z; 1 rows x 198 cols. Sub-county age structure for the attendance-area overlay (2010 tract rows use 2010 tract geography),4669
census_acs5_2020_2024_place_boulder_city_B01002_median_age.csv,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B01002&g=160XX00US0807850,"U.S. Census Bureau (data.census.gov table API, no key required)",ACSDT5Y2024.B01002: ACS 5-year table B01002; same response as CSV (rows verbatim),"Boulder city, CO (place 0807850)",ACS 2020-2024,2026-09-04T02:29:50Z,0d5780e29d486a11f0c62f1ef1d82568,Retrieved 2026-09-04T02:29:50Z; 1 rows x 14 cols. Sub-county age structure for the attendance-area overlay (2010 tract rows use 2010 tract geography),239
census_acs5_2020_2024_place_boulder_city_B01002_median_age.json,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B01002&g=160XX00US0807850,"U.S. Census Bureau (data.census.gov table API, no key required)",ACSDT5Y2024.B01002: ACS 5-year table B01002; raw JSON response,"Boulder city, CO (place 0807850)",ACS 2020-2024,2026-09-04T02:29:50Z,2a66f45e484bfd21aedce6ec4adef0b8,Retrieved 2026-09-04T02:29:50Z; 1 rows x 14 cols. Sub-county age structure for the attendance-area overlay (2010 tract rows use 2010 tract geography),579
census_acs5_2020_2024_place_boulder_city_B11005_households_with_under18.csv,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B11005&g=160XX00US0807850,"U.S. Census Bureau (data.census.gov table API, no key required)",ACSDT5Y2024.B11005: ACS 5-year table B11005; same response as CSV (rows verbatim),"Boulder city, CO (place 0807850)",ACS 2020-2024,2026-09-04T02:29:54Z,101f02190d942a0f1c5e0d5ebd7b7101,Retrieved 2026-09-04T02:29:54Z; 1 rows x 78 cols. Sub-county age structure for the attendance-area overlay (2010 tract rows use 2010 tract geography),1214
census_acs5_2020_2024_place_boulder_city_B11005_households_with_under18.json,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B11005&g=160XX00US0807850,"U.S. Census Bureau (data.census.gov table API, no key required)",ACSDT5Y2024.B11005: ACS 5-year table B11005; raw JSON response,"Boulder city, CO (place 0807850)",ACS 2020-2024,2026-09-04T02:29:54Z,061d96c2c01d7f3a5fc1e846f127dada,Retrieved 2026-09-04T02:29:54Z; 1 rows x 78 cols. Sub-county age structure for the attendance-area overlay (2010 tract rows use 2010 tract geography),2002
census_acs5_2020_2024_place_boulder_city_B25003_tenure.csv,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B25003&g=160XX00US0807850,"U.S. Census Bureau (data.census.gov table API, no key required)",ACSDT5Y2024.B25003: ACS 5-year table B25003; same response as CSV (rows verbatim),"Boulder city, CO (place 0807850)",ACS 2020-2024,2026-09-04T02:29:57Z,dedd3238715221482e51f6e9bb9725cb,Retrieved 2026-09-04T02:29:57Z; 1 rows x 14 cols. Sub-county age structure for the attendance-area overlay (2010 tract rows use 2010 tract geography),242
census_acs5_2020_2024_place_boulder_city_B25003_tenure.json,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B25003&g=160XX00US0807850,"U.S. Census Bureau (data.census.gov table API, no key required)",ACSDT5Y2024.B25003: ACS 5-year table B25003; raw JSON response,"Boulder city, CO (place 0807850)",ACS 2020-2024,2026-09-04T02:29:57Z,638d48da04a916b063edcae42a3aa685,Retrieved 2026-09-04T02:29:57Z; 1 rows x 14 cols. Sub-county age structure for the attendance-area overlay (2010 tract rows use 2010 tract geography),582
census_acs5_2020_2024_tract_boulder_county_B01001_sex_by_age.csv,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B01001&g=050XX00US08013$1400000,"U.S. Census Bureau (data.census.gov table API, no key required)","ACS 2020-2024 5-year table B01001 (sex_by_age): estimates (E) and margins of error (M) with annotation columns; same response written as CSV (rows verbatim, header row = variable codes)","All 78 census tracts in Boulder County, CO",ACS 2020-2024,2026-09-04T02:26:07Z,08826cadbfd39454bccc351e403bfe5e,Retrieved 2026-09-04T02:26:07Z; 78 tract rows x 198 cols. Attendance-area overlay to be done later with data/raw/enrollmentdata/BVSD_Attendance_Areas.geojson (tract geometry in sdo_bucket_ACS2024_tract.zip),40311
census_acs5_2020_2024_tract_boulder_county_B01001_sex_by_age.json,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B01001&g=050XX00US08013$1400000,"U.S. Census Bureau (data.census.gov table API, no key required)",ACS 2020-2024 5-year table B01001 (sex_by_age): estimates (E) and margins of error (M) with annotation columns; raw JSON response,"All 78 census tracts in Boulder County, CO",ACS 2020-2024,2026-09-04T02:26:07Z,bac7939afd9c8e9fb2026174b74dafde,Retrieved 2026-09-04T02:26:07Z; 78 tract rows x 198 cols. Attendance-area overlay to be done later with data/raw/enrollmentdata/BVSD_Attendance_Areas.geojson (tract geometry in sdo_bucket_ACS2024_tract.zip),102862
census_acs5_2020_2024_tract_boulder_county_B01002_median_age_by_sex.csv,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B01002&g=050XX00US08013$1400000,"U.S. Census Bureau (data.census.gov table API, no key required)","ACS 2020-2024 5-year table B01002 (median_age_by_sex): estimates (E) and margins of error (M) with annotation columns; same response written as CSV (rows verbatim, header row = variable codes)","All 78 census tracts in Boulder County, CO",ACS 2020-2024,2026-09-04T02:26:08Z,4e062c51abcac9e427724bb55d9b6b52,Retrieved 2026-09-04T02:26:08Z; 78 tract rows x 14 cols. Attendance-area overlay to be done later with data/raw/enrollmentdata/BVSD_Attendance_Areas.geojson (tract geometry in sdo_bucket_ACS2024_tract.zip),8037
census_acs5_2020_2024_tract_boulder_county_B01002_median_age_by_sex.json,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B01002&g=050XX00US08013$1400000,"U.S. Census Bureau (data.census.gov table API, no key required)",ACS 2020-2024 5-year table B01002 (median_age_by_sex): estimates (E) and margins of error (M) with annotation columns; raw JSON response,"All 78 census tracts in Boulder County, CO",ACS 2020-2024,2026-09-04T02:26:08Z,472990c629c13648f00fe6a7c91446bf,Retrieved 2026-09-04T02:26:08Z; 78 tract rows x 14 cols. Attendance-area overlay to be done later with data/raw/enrollmentdata/BVSD_Attendance_Areas.geojson (tract geometry in sdo_bucket_ACS2024_tract.zip),12628
census_acs5_2020_2024_tract_boulder_county_B09001_population_under_18_by_age.csv,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B09001&g=050XX00US08013$1400000,"U.S. Census Bureau (data.census.gov table API, no key required)","ACS 2020-2024 5-year table B09001 (population_under_18_by_age): estimates (E) and margins of error (M) with annotation columns; same response written as CSV (rows verbatim, header row = variable codes)","All 78 census tracts in Boulder County, CO",ACS 2020-2024,2026-09-04T02:26:12Z,ed32da9a6421aca4567565f087c367c4,Retrieved 2026-09-04T02:26:12Z; 78 tract rows x 42 cols. Attendance-area overlay to be done later with data/raw/enrollmentdata/BVSD_Attendance_Areas.geojson (tract geometry in sdo_bucket_ACS2024_tract.zip),12556
census_acs5_2020_2024_tract_boulder_county_B09001_population_under_18_by_age.json,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B09001&g=050XX00US08013$1400000,"U.S. Census Bureau (data.census.gov table API, no key required)",ACS 2020-2024 5-year table B09001 (population_under_18_by_age): estimates (E) and margins of error (M) with annotation columns; raw JSON response,"All 78 census tracts in Boulder County, CO",ACS 2020-2024,2026-09-04T02:26:12Z,c31b8fc5307ed490f1fa9ce65f06a102,Retrieved 2026-09-04T02:26:12Z; 78 tract rows x 42 cols. Attendance-area overlay to be done later with data/raw/enrollmentdata/BVSD_Attendance_Areas.geojson (tract geometry in sdo_bucket_ACS2024_tract.zip),25967
census_acs5_2020_2024_tract_boulder_county_B11003_family_type_by_presence_of_own_children_under_18.csv,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B11003&g=050XX00US08013$1400000,"U.S. Census Bureau (data.census.gov table API, no key required)","ACS 2020-2024 5-year table B11003 (family_type_by_presence_of_own_children_under_18): estimates (E) and margins of error (M) with annotation columns; same response written as CSV (rows verbatim, header row = variable codes)","All 78 census tracts in Boulder County, CO",ACS 2020-2024,2026-09-04T02:26:16Z,7f610a3fb284eb0a756f594d4c80b0b3,Retrieved 2026-09-04T02:26:16Z; 78 tract rows x 82 cols. Attendance-area overlay to be done later with data/raw/enrollmentdata/BVSD_Attendance_Areas.geojson (tract geometry in sdo_bucket_ACS2024_tract.zip),19290
census_acs5_2020_2024_tract_boulder_county_B11003_family_type_by_presence_of_own_children_under_18.json,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B11003&g=050XX00US08013$1400000,"U.S. Census Bureau (data.census.gov table API, no key required)",ACS 2020-2024 5-year table B11003 (family_type_by_presence_of_own_children_under_18): estimates (E) and margins of error (M) with annotation columns; raw JSON response,"All 78 census tracts in Boulder County, CO",ACS 2020-2024,2026-09-04T02:26:16Z,84f2b66407a9cdda32c1c50d2b4980e9,Retrieved 2026-09-04T02:26:16Z; 78 tract rows x 82 cols. Attendance-area overlay to be done later with data/raw/enrollmentdata/BVSD_Attendance_Areas.geojson (tract geometry in sdo_bucket_ACS2024_tract.zip),45301
census_acs5_2020_2024_tract_boulder_county_B11005_households_by_presence_of_people_under_18.csv,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B11005&g=050XX00US08013$1400000,"U.S. Census Bureau (data.census.gov table API, no key required)","ACS 2020-2024 5-year table B11005 (households_by_presence_of_people_under_18): estimates (E) and margins of error (M) with annotation columns; same response written as CSV (rows verbatim, header row = variable codes)","All 78 census tracts in Boulder County, CO",ACS 2020-2024,2026-09-04T02:26:14Z,8b08245606b5a1442507f36f40808fba,Retrieved 2026-09-04T02:26:14Z; 78 tract rows x 78 cols. Attendance-area overlay to be done later with data/raw/enrollmentdata/BVSD_Attendance_Areas.geojson (tract geometry in sdo_bucket_ACS2024_tract.zip),19364
census_acs5_2020_2024_tract_boulder_county_B11005_households_by_presence_of_people_under_18.json,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B11005&g=050XX00US08013$1400000,"U.S. Census Bureau (data.census.gov table API, no key required)",ACS 2020-2024 5-year table B11005 (households_by_presence_of_people_under_18): estimates (E) and margins of error (M) with annotation columns; raw JSON response,"All 78 census tracts in Boulder County, CO",ACS 2020-2024,2026-09-04T02:26:14Z,89abd16aab03b19243515177c80b66b2,Retrieved 2026-09-04T02:26:14Z; 78 tract rows x 78 cols. Attendance-area overlay to be done later with data/raw/enrollmentdata/BVSD_Attendance_Areas.geojson (tract geometry in sdo_bucket_ACS2024_tract.zip),44115
census_acs5_2020_2024_tract_boulder_county_B19013_median_household_income.csv,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B19013&g=050XX00US08013$1400000,"U.S. Census Bureau (data.census.gov table API, no key required)","ACS 2020-2024 5-year table B19013 (median_household_income): estimates (E) and margins of error (M) with annotation columns; same response written as CSV (rows verbatim, header row = variable codes)","All 78 census tracts in Boulder County, CO",ACS 2020-2024,2026-09-04T02:26:22Z,343d3e3701232fd2d434d850f860bcf0,Retrieved 2026-09-04T02:26:22Z; 78 tract rows x 6 cols. Attendance-area overlay to be done later with data/raw/enrollmentdata/BVSD_Attendance_Areas.geojson (tract geometry in sdo_bucket_ACS2024_tract.zip),6477
census_acs5_2020_2024_tract_boulder_county_B19013_median_household_income.json,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B19013&g=050XX00US08013$1400000,"U.S. Census Bureau (data.census.gov table API, no key required)",ACS 2020-2024 5-year table B19013 (median_household_income): estimates (E) and margins of error (M) with annotation columns; raw JSON response,"All 78 census tracts in Boulder County, CO",ACS 2020-2024,2026-09-04T02:26:22Z,6e1bd5e859fd3bbab73a03ef68e04dfa,Retrieved 2026-09-04T02:26:22Z; 78 tract rows x 6 cols. Attendance-area overlay to be done later with data/raw/enrollmentdata/BVSD_Attendance_Areas.geojson (tract geometry in sdo_bucket_ACS2024_tract.zip),8548
census_acs5_2020_2024_tract_boulder_county_B25003_tenure.csv,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B25003&g=050XX00US08013$1400000,"U.S. Census Bureau (data.census.gov table API, no key required)","ACS 2020-2024 5-year table B25003 (tenure): estimates (E) and margins of error (M) with annotation columns; same response written as CSV (rows verbatim, header row = variable codes)","All 78 census tracts in Boulder County, CO",ACS 2020-2024,2026-09-04T02:26:18Z,1046c8be5c9f9e725dc3a8d3f56fc449,Retrieved 2026-09-04T02:26:18Z; 78 tract rows x 14 cols. Attendance-area overlay to be done later with data/raw/enrollmentdata/BVSD_Attendance_Areas.geojson (tract geometry in sdo_bucket_ACS2024_tract.zip),7868
census_acs5_2020_2024_tract_boulder_county_B25003_tenure.json,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B25003&g=050XX00US08013$1400000,"U.S. Census Bureau (data.census.gov table API, no key required)",ACS 2020-2024 5-year table B25003 (tenure): estimates (E) and margins of error (M) with annotation columns; raw JSON response,"All 78 census tracts in Boulder County, CO",ACS 2020-2024,2026-09-04T02:26:18Z,3904ea8bc6cd05deb6780d1d87abee58,Retrieved 2026-09-04T02:26:18Z; 78 tract rows x 14 cols. Attendance-area overlay to be done later with data/raw/enrollmentdata/BVSD_Attendance_Areas.geojson (tract geometry in sdo_bucket_ACS2024_tract.zip),12459
census_acs5_2020_2024_tract_boulder_county_B25008_total_population_in_occupied_housing_units_by_tenure.csv,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B25008&g=050XX00US08013$1400000,"U.S. Census Bureau (data.census.gov table API, no key required)","ACS 2020-2024 5-year table B25008 (total_population_in_occupied_housing_units_by_tenure): estimates (E) and margins of error (M) with annotation columns; same response written as CSV (rows verbatim, header row = variable codes)","All 78 census tracts in Boulder County, CO",ACS 2020-2024,2026-09-04T02:26:20Z,5897cc73914da06da364614a603b2600,Retrieved 2026-09-04T02:26:20Z; 78 tract rows x 14 cols. Attendance-area overlay to be done later with data/raw/enrollmentdata/BVSD_Attendance_Areas.geojson (tract geometry in sdo_bucket_ACS2024_tract.zip),7983
census_acs5_2020_2024_tract_boulder_county_B25008_total_population_in_occupied_housing_units_by_tenure.json,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B25008&g=050XX00US08013$1400000,"U.S. Census Bureau (data.census.gov table API, no key required)",ACS 2020-2024 5-year table B25008 (total_population_in_occupied_housing_units_by_tenure): estimates (E) and margins of error (M) with annotation columns; raw JSON response,"All 78 census tracts in Boulder County, CO",ACS 2020-2024,2026-09-04T02:26:20Z,0978ebe763305cfed9aedacf73c3932b,Retrieved 2026-09-04T02:26:20Z; 78 tract rows x 14 cols. Attendance-area overlay to be done later with data/raw/enrollmentdata/BVSD_Attendance_Areas.geojson (tract geometry in sdo_bucket_ACS2024_tract.zip),12574
census_acs5_2020_2024_tract_boulder_county_B25010_average_household_size_by_tenure.csv,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B25010&g=050XX00US08013$1400000,"U.S. Census Bureau (data.census.gov table API, no key required)","ACS 2020-2024 5-year table B25010 (average_household_size_by_tenure): estimates (E) and margins of error (M) with annotation columns; same response written as CSV (rows verbatim, header row = variable codes)","All 78 census tracts in Boulder County, CO",ACS 2020-2024,2026-09-04T02:26:24Z,2de4a78c7c53b7a114252e0bb1d936b9,Retrieved 2026-09-04T02:26:24Z; 78 tract rows x 14 cols. Attendance-area overlay to be done later with data/raw/enrollmentdata/BVSD_Attendance_Areas.geojson (tract geometry in sdo_bucket_ACS2024_tract.zip),8281
census_acs5_2020_2024_tract_boulder_county_B25010_average_household_size_by_tenure.json,https://data.census.gov/api/access/data/table?id=ACSDT5Y2024.B25010&g=050XX00US08013$1400000,"U.S. Census Bureau (data.census.gov table API, no key required)",ACS 2020-2024 5-year table B25010 (average_household_size_by_tenure): estimates (E) and margins of error (M) with annotation columns; raw JSON response,"All 78 census tracts in Boulder County, CO",ACS 2020-2024,2026-09-04T02:26:24Z,6734d374a5ad05278bc65700120bd905,Retrieved 2026-09-04T02:26:24Z; 78 tract rows x 14 cols. Attendance-area overlay to be done later with data/raw/enrollmentdata/BVSD_Attendance_Areas.geojson (tract geometry in sdo_bucket_ACS2024_tract.zip),12868
census_acs5_2020_2024_tract_boulder_county_QUERY_URLS.csv,(see rows),"U.S. Census Bureau (data.census.gov table API, no key required)","Log of the exact data.census.gov API URLs, row/column counts and retrieval times for the tract-level ACS extracts",Boulder County tracts,ACS 2020-2024,2026-09-04T02:26:25Z,4312abfad2ba0539c6ee803f5ca0df81,Written by this session,1456
census_acs5_2024_variable_labels_B01001.json,https://api.census.gov/data/2024/acs/acs5/groups/B01001.json,U.S. Census Bureau,ACS 2024 5-year variable labels/definitions for table group B01001 (endpoint works without a key),n/a,ACS 2020-2024,2026-09-04T02:28:02Z,c6029d2432b8fdcb241adebf597e6f7c,Use to label the E/M columns in the data.census.gov extracts,251518
census_acs5_2024_variable_labels_B01002.json,https://api.census.gov/data/2024/acs/acs5/groups/B01002.json,U.S. Census Bureau,ACS 2024 5-year variable labels/definitions for table group B01002 (endpoint works without a key),n/a,ACS 2020-2024,2026-09-04T02:28:08Z,614c4d63f101b06e1c6e8a576500ba40,Use to label the E/M columns in the data.census.gov extracts,202206
census_acs5_2024_variable_labels_B09001.json,https://api.census.gov/data/2024/acs/acs5/groups/B09001.json,U.S. Census Bureau,ACS 2024 5-year variable labels/definitions for table group B09001 (endpoint works without a key),n/a,ACS 2020-2024,2026-09-04T02:28:08Z,9ddbe65d1c84cdd5333c8a9a6165f408,Use to label the E/M columns in the data.census.gov extracts,211058
census_acs5_2024_variable_labels_B11003.json,https://api.census.gov/data/2024/acs/acs5/groups/B11003.json,U.S. Census Bureau,ACS 2024 5-year variable labels/definitions for table group B11003 (endpoint works without a key),n/a,ACS 2020-2024,2026-09-04T02:28:09Z,f886baba4e0534591e0d9ffac67a09e4,Use to label the E/M columns in the data.census.gov extracts,229444
census_acs5_2024_variable_labels_B11005.json,https://api.census.gov/data/2024/acs/acs5/groups/B11005.json,U.S. Census Bureau,ACS 2024 5-year variable labels/definitions for table group B11005 (endpoint works without a key),n/a,ACS 2020-2024,2026-09-04T02:28:09Z,b28f52440cbcd99c3be5f5611f41846d,Use to label the E/M columns in the data.census.gov extracts,227590
census_acs5_2024_variable_labels_B19013.json,https://api.census.gov/data/2024/acs/acs5/groups/B19013.json,U.S. Census Bureau,ACS 2024 5-year variable labels/definitions for table group B19013 (endpoint works without a key),n/a,ACS 2020-2024,2026-09-04T02:28:11Z,336b7d8047b3cbdb730ad52c5f2ab863,Use to label the E/M columns in the data.census.gov extracts,200530
census_acs5_2024_variable_labels_B25003.json,https://api.census.gov/data/2024/acs/acs5/groups/B25003.json,U.S. Census Bureau,ACS 2024 5-year variable labels/definitions for table group B25003 (endpoint works without a key),n/a,ACS 2020-2024,2026-09-04T02:28:10Z,644ba832d2f7c0467fbccf5cd0e8a2de,Use to label the E/M columns in the data.census.gov extracts,202106
census_acs5_2024_variable_labels_B25008.json,https://api.census.gov/data/2024/acs/acs5/groups/B25008.json,U.S. Census Bureau,ACS 2024 5-year variable labels/definitions for table group B25008 (endpoint works without a key),n/a,ACS 2020-2024,2026-09-04T02:28:11Z,1fa3ca4f07fd686b0e4d2b77b4ba52fc,Use to label the E/M columns in the data.census.gov extracts,202938
census_acs5_2024_variable_labels_B25010.json,https://api.census.gov/data/2024/acs/acs5/groups/B25010.json,U.S. Census Bureau,ACS 2024 5-year variable labels/definitions for table group B25010 (endpoint works without a key),n/a,ACS 2020-2024,2026-09-04T02:28:12Z,275a5b71160bf5534c51b402793b60f8,Use to label the E/M columns in the data.census.gov extracts,203066
